Dex No.,Name,Generation,Primary Type,Secondary Type,Health,Attack,Defense,Sp. Attack,Sp. Defense,Speed,BST,Catch Rate,Ability 1,Ability 2,Hidden Ability,Male Ratio,Female Ratio,Height,Weight,Egg Group 1,Egg Group 2,Sword Dens,Sheild Dens,Moonstone Evo?,-
#032,Nidoranm,Generation I,Poison,Unknown,46,57,40,40,40,50,273,235,Poison Point,Rivalry,Hustle,100,0,0.5,9,Monster,Field,Unknown,Unknown,0,
#033,Nidorino,Generation I,Poison,Unknown,61,72,57,55,55,65,365,120,Poison Point,Rivalry,Hustle,100,0,0.9,19.5,Monster,Field,Unknown,Unknown,1,
#034,Nidoking,Generation I,Poison,Ground,81,92,77,85,75,85,495,45,Poison Point,Rivalry,Sheer Force,100,0,1.4,62,Monster,Field,Unknown,Unknown,0,
#035,Clefairy,Generation I,Fairy,Unknown,70,45,48,60,65,35,323,150,Cute Charm,Magic Guard,Friend Guard,25,75,0.6,7.5,Fairy,Unknown,"33, 34, 126","33, 34, 126",1,
#036,Clefable,Generation I,Fairy,Unknown,95,70,73,85,90,60,473,25,Cute Charm,Magic Guard,Friend Guard,25,75,1.3,40,Fairy,Unknown,"33, 34, 126","33, 34, 126",0,
#037,Vulpix,Generation I,Fire,Unknown,38,41,40,50,65,65,299,190,Flash Fire,Unknown,Drought,25,75,0.6,9.9,Field,Unknown,"18, 19, 20, 53, 54, 71, 77, 80",Unknown,0,
#038,Ninetales,Generation I,Fire,Unknown,73,76,75,81,100,100,505,75,Flash Fire,Unknown,Drought,25,75,1.1,19.9,Field,Unknown,"18, 19, 20, 53, 54, 71, 77, 80, 114",71,0,
#039,Jigglypuff,Generation I,Normal,Fairy,115,45,20,45,25,20,270,170,Cute Charm,Competitive,Friend Guard,25,75,0.5,5.5,Fairy,Unknown,"99, 100, 125","99, 100, 125",1,
#040,Wigglytuff,Generation I,Normal,Fairy,140,70,45,75,50,45,425,50,Cute Charm,Competitive,Frisk,25,75,1,12,Fairy,Unknown,"99, 100, 125","99, 100, 125",0,
#041,Zubat,Generation I,Poison,Flying,40,45,35,30,40,55,245,255,Inner Focus,Unknown,Infiltrator,50,50,0.8,7.5,Flying,Unknown,Unknown,Unknown,0,
#042,Golbat,Generation I,Poison,Flying,75,80,70,65,75,90,455,90,Inner Focus,Unknown,Infiltrator,50,50,1.6,55,Flying,Unknown,Unknown,Unknown,0,
#043,Oddish,Generation I,Grass,Poison,45,50,55,75,65,30,320,255,Chlorophyll,Unknown,Run Away,50,50,0.5,5.4,Grass,Unknown,"26, 29, 30","26, 29, 30",0,
#044,Gloom,Generation I,Grass,Poison,60,65,70,85,75,40,395,120,Chlorophyll,Unknown,Stench,50,50,0.8,8.6,Grass,Unknown,"26, 30","26, 30",0,
#045,Vileplume,Generation I,Grass,Poison,75,80,85,100,90,50,480,45,Chlorophyll,Unknown,Effort Spore,50,50,1.2,18.6,Grass,Unknown,"26, 29, 30","26, 29, 30",0,
#046,Paras,Generation I,Bug,Grass,35,70,55,45,55,25,285,190,Effect Spore,Dry Skin,Damp,50,50,0.3,5.4,Bug,Grass,Unknown,Unknown,0,
#047,Parasect,Generation I,Bug,Grass,60,95,80,60,80,30,405,75,Effect Spore,Dry Skin,Damp,50,50,1,29.5,Bug,Grass,Unknown,Unknown,0,
#048,Venonat,Generation I,Bug,Poison,60,55,50,40,55,45,305,190,Compound Eyes,Tinted Lens,Run Away,50,50,1,30,Bug,Unknown,Unknown,Unknown,0,
#049,Venomoth,Generation I,Bug,Poison,70,65,60,90,75,90,450,75,Shield Dust,Tinted Lens,Wonder Skin,50,50,1.5,12.5,Bug,Unknown,Unknown,Unknown,0,
#050,Diglett,Generation I,Ground,Unknown,10,55,25,35,45,95,265,255,Sand Veil,Arena Trap,Sand Force,50,50,0.2,0.8,Field,Unknown,16,16,0,
#051,Dugtrio,Generation I,Ground,Unknown,35,80,50,50,70,120,405,50,Sand Veil,Arena Trap,Sand Force,50,50,0.7,33.3,Field,Unknown,16,16,0,
#052,Meowth,Generation I,Normal,Unknown,40,45,35,40,40,90,290,255,Pickup,Technician,Unnerve,50,50,0.4,4.2,Field,Unknown,Unknown,Unknown,0,
#053,Persian,Generation I,Normal,Unknown,65,70,60,65,65,115,440,90,Limber,Technician,Unnerve,50,50,1.1,33,Field,Unknown,Unknown,Unknown,0,
#054,Psyduck,Generation I,Water,Unknown,50,52,48,65,50,55,320,190,Damp,Cloud Nine,Swift Swim,50,50,0.8,19.6,Water 1,Field,"135, 136, 148","135, 136, 148",0,
#055,Golduck,Generation I,Water,Unknown,80,82,78,95,80,85,500,75,Damp,Cloud Nine,Swift Swim,50,50,1.7,76.6,Water 1,Field,"135, 136, 148","135, 136, 148",0,
#056,Mankey,Generation I,Fighting,Unknown,40,80,35,35,45,70,305,190,Vital Spirit,Anger Point,Defiant,50,50,0.5,28,Field,Unknown,Unknown,Unknown,0,
#057,Primeape,Generation I,Fighting,Unknown,65,105,60,60,70,95,455,75,Vital Spirit,Anger Point,Defiant,50,50,1,32,Field,Unknown,Unknown,Unknown,0,
#058,Growlithe,Generation I,Fire,Unknown,55,70,45,70,50,60,350,190,Intimidate,Flash Fire,Justified,75,25,0.7,19,Field,Unknown,Unknown,"18, 19, 20, 53, 54, 71, 77, 80",0,
#059,Arcanine,Generation I,Fire,Unknown,90,110,80,100,80,95,555,75,Intimidate,Flash Fire,Justified,75,25,1.9,155,Field,Unknown,71,"18, 19, 20, 53, 54, 71, 77, 80, 114",0,
#060,Poliwag,Generation I,Water,Unknown,40,50,40,40,40,90,300,255,Water Absorb,Damp,Swift Swim,50,50,0.6,12.4,Water 1,Unknown,133,133,0,
#061,Poliwhirl,Generation I,Water,Unknown,65,65,65,50,50,90,385,120,Water Absorb,Damp,Swift Swim,50,50,1,20,Water 1,Unknown,"133, 134","133, 134",0,
#062,Poliwrath,Generation I,Water,Fighting,90,85,95,70,90,70,500,45,Water Absorb,Damp,Swift Swim,50,50,1.3,54,Water 1,Unknown,"133, 134","133, 134",0,
#063,Abra,Generation I,Psychic,Unknown,25,20,15,105,55,90,310,200,Synchronize,Inner Focus,Magic Guard,75,25,0.9,19.5,HumanUndiscoveredLike,Unknown,"117, 118","117, 118",0,
#064,Kadabra,Generation I,Psychic,Unknown,40,35,30,120,70,105,400,100,Synchronize,Inner Focus,Magic Guard,75,25,1.3,56.5,HumanUndiscoveredLike,Unknown,"117, 118",117,0,
#065,Alakazam,Generation I,Psychic,Unknown,55,50,45,135,85,120,490,50,Synchronize,Inner Focus,Magic Guard,75,25,1.5,48,HumanUndiscoveredLike,Unknown,"117, 118","117, 118",0,
#066,Machop,Generation I,Fighting,Unknown,70,80,50,35,35,35,305,180,Guts,No Guard,Steadfast,75,25,0.8,19.5,HumanUndiscoveredLike,Unknown,"1, 48, 81","1, 48",0,
#067,Machoke,Generation I,Fighting,Unknown,80,100,70,50,60,45,405,90,Guts,No Guard,Steadfast,75,25,1.5,70.5,HumanUndiscoveredLike,Unknown,"1, 48, 81","1, 48",0,
#068,Machamp,Generation I,Fighting,Unknown,90,130,80,65,85,55,505,45,Guts,No Guard,Steadfast,75,25,1.6,130,HumanUndiscoveredLike,Unknown,"1, 48, 81","1, 48",0,
#069,Bellsprout,Generation I,Grass,Poison,50,75,35,70,30,40,300,255,Chlorophyll,Unknown,Gluttony,75,25,0.7,4,Grass,Unknown,Unknown,Unknown,0,
#070,Weepinbell,Generation I,Grass,Poison,65,90,50,85,45,55,390,120,Chlorophyll,Unknown,Gluttony,50,50,1,6.4,Grass,Unknown,Unknown,Unknown,0,
#071,Victreebel,Generation I,Grass,Poison,80,105,65,100,60,70,480,45,Chlorophyll,Unknown,Gluttony,50,50,1.7,15.5,Grass,Unknown,Unknown,Unknown,0,
#072,Tentacool,Generation I,Water,Poison,40,40,35,50,100,70,335,190,Clear Body,Liquid Ooze,Rain Dish,50,50,0.9,45.5,Water 3,Unknown,"119, 137, 146, 147, 155","119, 137, 146, 147, 155",0,
#073,Tentacruel,Generation I,Water,Poison,80,70,65,80,120,100,515,60,Clear Body,Liquid Ooze,Rain Dish,50,50,1.6,55,Water 3,Unknown,"119, 137, 138, 146, 147, 155","119, 137, 138, 146, 147, 155",0,
#074,Geodude,Generation I,Rock,Ground,40,80,100,30,30,20,300,255,Rock Head,Sturdy,Sand Veil,50,50,0.4,20,Mineral,Unknown,Unknown,Unknown,0,
#075,Graveler,Generation I,Rock,Ground,55,95,115,45,45,35,390,120,Rock Head,Sturdy,Sand Veil,50,50,1,105,Mineral,Unknown,Unknown,Unknown,0,
#076,Golem,Generation I,Rock,Ground,80,110,130,55,65,45,485,45,Rock Head,Sturdy,Sand Veil,50,50,1.4,300,Mineral,Unknown,Unknown,Unknown,0,
#077,Ponyta,Generation I,Fire,Unknown,50,85,55,65,65,90,410,190,Run Away,Flash Fire,Flame Body,50,50,1,30,Field,Unknown,Unknown,Unknown,0,
#078,Rapidash,Generation I,Fire,Unknown,65,100,70,80,80,105,500,60,Run Away,Flash Fire,Flame Body,50,50,1.7,95,Field,Unknown,Unknown,Unknown,0,
#079,Slowpoke,Generation I,Water,Psychic,90,65,65,40,40,15,315,190,Oblivious,Own Tempo,Regenerator,50,50,1.2,36,Monster,Water 1,Unknown,Unknown,0,
#080,Slowbro,Generation I,Water,Psychic,95,75,110,100,80,30,490,75,Oblivious,Own Tempo,Regenerator,50,50,1.6,78.5,Monster,Water 1,Unknown,Unknown,0,
#081,Magnemite,Generation I,Electric,Steel,25,35,70,95,55,45,325,190,Magnet Pull,Sturdy,Analytic,0,0,0.3,6,Mineral,Unknown,"105, 129, 130","105, 129, 130",0,
#082,Magneton,Generation I,Electric,Steel,50,60,95,120,70,70,465,60,Magnet Pull,Sturdy,Analytic,0,0,1,60,Mineral,Unknown,"105, 129, 130","105, 129, 130",0,
#083,Farfetch'd,Generation I,Normal,Flying,52,65,55,58,62,60,352,45,Keen Eye,Inner Focus,Defiant,50,50,0.8,15,Flying,Field,Unknown,Unknown,0,
#084,Doduo,Generation I,Normal,Flying,35,85,45,35,35,75,310,190,Run Away,Early Bird,Tangled Feet,50,50,1.4,39.2,Flying,Unknown,Unknown,Unknown,0,
#085,Dodrio,Generation I,Normal,Flying,60,110,70,60,60,100,460,45,Run Away,Early Bird,Tangled Feet,50,50,1.8,85.2,Flying,Unknown,Unknown,Unknown,0,
#086,Seel,Generation I,Water,Unknown,65,45,55,45,70,45,325,190,Thick Fat,Hydration,Ice Body,50,50,1.1,90,Water 1,Field,Unknown,Unknown,0,
#087,Dewgong,Generation I,Water,Ice,90,70,80,70,95,70,475,75,Thick Fat,Hydration,Ice Body,50,50,1.7,120,Water 1,Field,Unknown,Unknown,0,
#088,Grimer,Generation I,Poison,Unknown,80,80,50,40,50,25,325,190,Stench,Sticky Hold,Poison Touch,50,50,0.9,30,Amorphous,Unknown,Unknown,Unknown,0,
#089,Muk,Generation I,Poison,Unknown,105,105,75,65,100,50,500,75,Stench,Sticky Hold,Poison Touch,50,50,1.2,30,Amorphous,Unknown,Unknown,Unknown,0,
#090,Shellder,Generation I,Water,Unknown,30,65,100,45,25,40,305,190,Shell Armor,Skill Link,Overcoat,50,50,0.3,4,Water 3,Unknown,"9, 41, 138, 155","9, 41, 138, 155",0,
#091,Cloyster,Generation I,Water,Ice,50,95,180,85,45,70,525,60,Shell Armor,Skill Link,Overcoat,50,50,1.5,132.5,Water 3,Unknown,"9, 21, 22, 41, 137, 138, 147, 155","9, 21, 22, 41, 137, 138, 147, 155",0,
#092,Gastly,Generation I,Ghost,Poison,30,35,30,100,35,80,310,190,Levitate,Unknown,Unknown,50,50,1.3,0.1,Amorphous,Unknown,"6, 30, 43","6, 30, 43, 81",0,
#093,Haunter,Generation I,Ghost,Poison,45,50,45,115,55,95,405,90,Levitate,Unknown,Unknown,50,50,1.6,0.1,Amorphous,Unknown,"6, 30, 43","6, 30, 43, 81",0,
#094,Gengar,Generation I,Ghost,Poison,60,65,60,130,75,110,500,45,Cursed Body,Unknown,Unknown,50,50,1.5,40.5,Amorphous,Unknown,43,"43, 81",0,
#095,Onix,Generation I,Rock,Ground,35,45,160,30,45,70,385,45,Rock Head,Sturdy,Weak Armor,50,50,8.8,210,Mineral,Unknown,"15, 16, 45, 51, 83, 84","15, 16, 45, 51, 84",0,
#096,Drowzee,Generation I,Psychic,Unknown,60,48,45,43,90,42,328,190,Insomnia,Forewarn,Inner Focus,50,50,1,32.4,HumanUndiscoveredLike,Unknown,Unknown,Unknown,0,
#097,Hypno,Generation I,Psychic,Unknown,85,73,70,73,115,67,483,75,Insomnia,Forewarn,Inner Focus,50,50,1.6,75.6,HumanUndiscoveredLike,Unknown,Unknown,Unknown,0,
#098,Krabby,Generation I,Water,Unknown,30,105,90,25,25,50,325,225,Hyper Cutter,Shell Armor,Sheer Force,50,50,0.4,6.5,Water 3,Unknown,"42, 75, 76, 78, 91, 137, 147","42, 75, 76, 78, 91, 137, 147",0,
#099,Kingler,Generation I,Water,Unknown,55,130,115,50,50,75,475,60,Hyper Cutter,Shell Armor,Sheer Force,50,50,1.3,60,Water 3,Unknown,"42, 75, 76, 78, 91, 137, 147","42, 75, 76, 78, 91, 137, 147",0,
#100,Voltorb,Generation I,Electric,Unknown,40,30,50,55,55,100,330,190,Soundproof,Static,Aftermath,0,0,0.5,10.4,Mineral,Unknown,Unknown,Unknown,0,
#101,Electrode,Generation I,Electric,Unknown,60,50,70,80,80,140,480,60,Soundproof,Static,Aftermath,0,0,1.2,66.6,Mineral,Unknown,Unknown,Unknown,0,
#102,Exeggcute,Generation I,Grass,Psychic,60,40,80,60,45,40,325,90,Chlorophyll,Unknown,Harvest,50,50,0.4,2.5,Grass,Unknown,"117, 145, 154","117, 145, 154",0,
#103,Exeggutor,Generation I,Grass,Psychic,95,95,85,125,65,55,520,45,Chlorophyll,Unknown,Harvest,50,50,2,120,Grass,Unknown,"117, 145, 154","117, 145, 154",0,
#104,Cubone,Generation I,Ground,Unknown,50,50,95,40,50,35,320,190,Rock Head,Lightning Rod,Battle Armor,50,50,0.4,6.5,Monster,Unknown,"103, 104, 127","103, 104, 127",0,
#105,Marowak,Generation I,Ground,Unknown,60,80,110,50,80,45,425,75,Rock Head,Lightning Rod,Battle Armor,50,50,1,45,Monster,Unknown,"103, 104, 127","103, 104, 127",0,
#106,Hitmonlee,Generation I,Fighting,Unknown,50,120,53,35,110,87,455,45,Limber,Reckless,Unburden,100,0,1.5,49.8,HumanUndiscoveredLike,Unknown,1,1,0,
#107,Hitmonchan,Generation I,Fighting,Unknown,50,105,79,35,110,76,455,45,Keen Eye,Iron Fist,Inner Focus,100,0,1.4,50.2,HumanUndiscoveredLike,Unknown,1,1,0,
#108,Lickitung,Generation I,Normal,Unknown,90,55,75,60,75,30,385,45,Own Tempo,Oblivious,Cloud Nine,50,50,1.2,65.5,Monster,Unknown,"101, 102","101, 102",0,
#109,Koffing,Generation I,Poison,Unknown,40,65,95,60,45,35,340,190,Levitate,Neutralizing Gas,Stench,50,50,0.6,1,Amorphous,Unknown,"30, 60, 86","30, 60, 86",0,
#110,Weezing,Generation I,Poison,Unknown,65,90,120,85,70,60,490,60,Levitate,Neutralizing Gas,Stench,50,50,1.2,9.5,Amorphous,Unknown,Unknown,Unknown,0,
#111,Rhyhorn,Generation I,Ground,Rock,80,85,95,30,30,25,345,120,Lightning Rod,Rock Head,Reckless,50,50,1,115,Monster,Field,"3, 115, 116","3, 115, 116",0,
#112,Rhydon,Generation I,Ground,Rock,105,130,120,45,45,40,485,60,Lightning Rod,Rock Head,Reckless,50,50,1.9,120,Monster,Field,"3, 115, 116","3, 115, 116",0,
#113,Chansey,Generation I,Normal,Unknown,250,5,5,35,105,50,450,30,Natural Cure,Serene Grace,Healer,0,100,1.1,34.6,Fairy,Unknown,"99, 101, 103, 105, 107, 109, 111, 113, 115, 117, 119, 121, 123, 125, 127, 129, 131, 133, 135, 137, 139, 141, 142, 143, 152, 154, 155, 156","99, 101, 103, 105, 107, 109, 111, 113, 115, 117, 119, 121, 123, 125, 127, 129, 131, 133, 135, 137, 139, 141, 142, 143, 152, 154, 155, 156",0,
#114,Tangela,Generation I,Grass,Unknown,65,55,115,100,40,60,435,45,Chlorophyll,Leaf Guard,Regenerator,50,50,1,35,Grass,Unknown,"111, 112, 145, 154","111, 112, 145, 154",0,
#115,Kangaskhan,Generation I,Normal,Unknown,105,95,80,40,80,90,490,45,Early Bird,Scrappy,Inner Focus,0,100,2.2,80,Monster,Unknown,"103, 104","103, 104",0,
#116,Horsea,Generation I,Water,Unknown,30,40,70,70,25,60,295,225,Swift Swim,Sniper,Damp,50,50,0.4,8,Water 1,Dragon,"131, 132","131, 132",0,
#117,Seadra,Generation I,Water,Unknown,55,65,95,95,45,85,440,75,Poison Point,Sniper,Damp,50,50,1.2,25,Water 1,Dragon,"131, 132, 140","131, 132, 140",0,
#118,Goldeen,Generation I,Water,Unknown,45,67,60,35,50,63,320,225,Swift Swim,Water Veil,Lightning Rod,50,50,0.6,15,Water 2,Unknown,"133, 134","133, 134",0,
#119,Seaking,Generation I,Water,Unknown,80,92,65,65,80,68,450,60,Swift Swim,Water Veil,Lightning Rod,50,50,1.3,39,Water 2,Unknown,"133, 134","133, 134",0,
#120,Staryu,Generation I,Water,Unknown,30,45,55,70,55,85,340,225,Illuminate,Natural Cure,Analytic,0,0,0.8,34.5,Water 3,Unknown,"139, 140, 146, 155","139, 140, 146, 155",0,
#121,Starmie,Generation I,Water,Psychic,60,75,85,100,85,115,520,60,Illuminate,Natural Cure,Analytic,0,0,1.1,80,Water 3,Unknown,"117, 139, 140, 146, 155","117, 139, 140, 146, 155",0,
#122,Mrmime,Generation I,Psychic,Fairy,40,45,65,100,120,90,460,45,Soundproof,Filter,Technician,50,50,1.3,54.5,HumanUndiscoveredLike,Unknown,Unknown,Unknown,0,
#123,Scyther,Generation I,Bug,Flying,70,110,80,55,80,105,500,45,Swarm,Technician,Steadfast,50,50,1.5,56,Bug,Unknown,"109, 110","109, 110",0,
#124,Jynx,Generation I,Ice,Psychic,65,50,35,115,95,95,455,45,Oblivious,Forewarn,Dry Skin,0,100,1.4,40.6,HumanUndiscoveredLike,Unknown,Unknown,Unknown,0,
#125,Electabuzz,Generation I,Electric,Unknown,65,83,57,95,85,105,490,45,Static,Unknown,Vital Spirit,75,25,1.1,30,HumanUndiscoveredLike,Unknown,Unknown,Unknown,0,
#126,Magmar,Generation I,Fire,Unknown,65,95,57,100,85,93,495,45,Flame Body,Unknown,Vital Spirit,75,25,1.3,44.5,HumanUndiscoveredLike,Unknown,Unknown,Unknown,0,
#127,Pinsir,Generation I,Bug,Unknown,65,125,100,55,70,85,500,45,Hyper Cutter,Mold Breaker,Moxie,50,50,1.5,55,Bug,Unknown,"109, 110, 149",Unknown,0,
#128,Tauros,Generation I,Normal,Unknown,75,100,95,40,70,110,490,45,Intimidate,Anger Point,Sheer Force,100,0,1.4,88.4,Field,Unknown,"101, 102","101, 102",0,
#129,Magikarp,Generation I,Water,Unknown,20,10,55,15,20,80,200,255,Swift Swim,Unknown,Rattled,50,50,0.9,10,Water 2,Dragon,"7, 44, 75, 78, 146, 155","7, 44, 75, 78, 146, 155",0,
#130,Gyarados,Generation I,Water,Flying,95,125,79,60,100,81,540,45,Intimidate,Unknown,Moxie,50,50,6.5,235,Water 2,Dragon,"7, 44, 75, 78, 91, 131, 136, 146, 155","7, 44, 75, 78, 91, 131, 136, 146, 155",0,
#131,Lapras,Generation I,Water,Ice,130,85,80,85,95,60,535,45,Water Absorb,Shell Armor,Hydration,50,50,2.5,220,Monster,Water 1,"21, 44, 55, 67, 91","21, 44, 55, 67, 83, 91",0,
#132,Ditto,Generation I,Normal,Unknown,48,48,48,48,48,48,288,35,Limber,Unknown,Imposter,0,0,0.3,4,Ditto,Unknown,"66, 152, 153","66, 152, 153",0,
#133,Eevee,Generation I,Normal,Unknown,55,55,50,45,65,55,325,45,Run Away,Adaptability,Anticipation,87.5,12.5,0.3,6.5,Field,Unknown,65,65,0,
#134,Vaporeon,Generation I,Water,Unknown,130,65,60,110,95,65,525,45,Water Absorb,Unknown,Hydration,87.5,12.5,1,29,Field,Unknown,67,67,0,
#135,Jolteon,Generation I,Electric,Unknown,65,65,60,110,95,130,525,45,Volt Absorb,Unknown,Quick Feet,87.5,12.5,0.8,24.5,Field,Unknown,72,72,0,
#136,Flareon,Generation I,Fire,Unknown,65,130,60,95,110,65,525,45,Flash Fire,Unknown,Guts,87.5,12.5,0.9,25,Field,Unknown,71,71,0,
#137,Porygon,Generation I,Normal,Unknown,65,60,70,85,75,40,395,45,Trace,Download,Analytic,0,0,0.8,36.5,Mineral,Unknown,Unknown,Unknown,0,
#138,Omanyte,Generation I,Rock,Water,35,40,100,90,55,35,355,45,Swift Swim,Shell Armor,Weak Armor,87.5,12.5,0.4,7.5,Water 1,Water 3,Unknown,Unknown,0,
#139,Omastar,Generation I,Rock,Water,70,60,125,115,70,55,495,45,Swift Swim,Shell Armor,Weak Armor,87.5,12.5,1,35,Water 1,Water 3,Unknown,Unknown,0,
#140,Kabuto,Generation I,Rock,Water,30,80,90,55,45,55,355,45,Swift Swim,Battle Armor,Weak Armor,87.5,12.5,0.5,11.5,Water 1,Water 3,Unknown,Unknown,0,
#141,Kabutops,Generation I,Rock,Water,60,115,105,65,70,80,495,45,Swift Swim,Battle Armor,Weak Armor,87.5,12.5,1.3,40.5,Water 1,Water 3,Unknown,Unknown,0,
#142,Aerodactyl,Generation I,Rock,Flying,80,105,65,60,75,130,515,45,Rock Head,Pressure,Unnerve,87.5,12.5,1.8,59,Flying,Unknown,Unknown,Unknown,0,
