Name,Sw nonHA,Sh nonHA,Sw HA,Sh HA,-
Sandshrew,"[103](https://www.serebii.net/swordshield/maxraidbattles/den103.shtml), [104](https://www.serebii.net/swordshield/maxraidbattles/den104.shtml)","[103](https://www.serebii.net/swordshield/maxraidbattles/den103.shtml), [104](https://www.serebii.net/swordshield/maxraidbattles/den104.shtml)",[104](https://www.serebii.net/swordshield/maxraidbattles/den104.shtml),[104](https://www.serebii.net/swordshield/maxraidbattles/den104.shtml),-
Sandslash,"[103](https://www.serebii.net/swordshield/maxraidbattles/den103.shtml), [104](https://www.serebii.net/swordshield/maxraidbattles/den104.shtml), [150](https://www.serebii.net/swordshield/maxraidbattles/den150.shtml)","[103](https://www.serebii.net/swordshield/maxraidbattles/den103.shtml), [104](https://www.serebii.net/swordshield/maxraidbattles/den104.shtml), [150](https://www.serebii.net/swordshield/maxraidbattles/den150.shtml)","[104](https://www.serebii.net/swordshield/maxraidbattles/den104.shtml), [150](https://www.serebii.net/swordshield/maxraidbattles/den150.shtml)","[104](https://www.serebii.net/swordshield/maxraidbattles/den104.shtml), [150](https://www.serebii.net/swordshield/maxraidbattles/den150.shtml)",-
Clefairy,"[33](https://www.serebii.net/swordshield/maxraidbattles/den33.shtml), [34](https://www.serebii.net/swordshield/maxraidbattles/den34.shtml), [126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml)","[33](https://www.serebii.net/swordshield/maxraidbattles/den33.shtml), [34](https://www.serebii.net/swordshield/maxraidbattles/den34.shtml), [126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml)",[126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml),[126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml),-
Clefable,"[33](https://www.serebii.net/swordshield/maxraidbattles/den33.shtml), [34](https://www.serebii.net/swordshield/maxraidbattles/den34.shtml), [126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml)","[33](https://www.serebii.net/swordshield/maxraidbattles/den33.shtml), [34](https://www.serebii.net/swordshield/maxraidbattles/den34.shtml), [126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml)",[126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml),[126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml),-
Vulpix,"[18](https://www.serebii.net/swordshield/maxraidbattles/den18.shtml), [19](https://www.serebii.net/swordshield/maxraidbattles/den19.shtml), [20](https://www.serebii.net/swordshield/maxraidbattles/den20.shtml), [53](https://www.serebii.net/swordshield/maxraidbattles/den53.shtml), [54](https://www.serebii.net/swordshield/maxraidbattles/den54.shtml), [71](https://www.serebii.net/swordshield/maxraidbattles/den71.shtml), [77](https://www.serebii.net/swordshield/maxraidbattles/den77.shtml), [80](https://www.serebii.net/swordshield/maxraidbattles/den80.shtml)",Unknown,None,Unknown,-
Ninetails,"[18](https://www.serebii.net/swordshield/maxraidbattles/den18.shtml), [19](https://www.serebii.net/swordshield/maxraidbattles/den19.shtml), [20](https://www.serebii.net/swordshield/maxraidbattles/den20.shtml), [53](https://www.serebii.net/swordshield/maxraidbattles/den53.shtml), [54](https://www.serebii.net/swordshield/maxraidbattles/den54.shtml), [71](https://www.serebii.net/swordshield/maxraidbattles/den71.shtml), [77](https://www.serebii.net/swordshield/maxraidbattles/den77.shtml), [80](https://www.serebii.net/swordshield/maxraidbattles/den80.shtml), [114](https://www.serebii.net/swordshield/maxraidbattles/den114.shtml)",[71](https://www.serebii.net/swordshield/maxraidbattles/den71.shtml),"[53](https://www.serebii.net/swordshield/maxraidbattles/den53.shtml), [54](https://www.serebii.net/swordshield/maxraidbattles/den54.shtml), [71](https://www.serebii.net/swordshield/maxraidbattles/den71.shtml), [77](https://www.serebii.net/swordshield/maxraidbattles/den77.shtml), [80](https://www.serebii.net/swordshield/maxraidbattles/den80.shtml), [114](https://www.serebii.net/swordshield/maxraidbattles/den114.shtml)",[71](https://www.serebii.net/swordshield/maxraidbattles/den71.shtml),-
Jigglypuff,"[99](https://www.serebii.net/swordshield/maxraidbattles/den99.shtml), [100](https://www.serebii.net/swordshield/maxraidbattles/den100.shtml), [125](https://www.serebii.net/swordshield/maxraidbattles/den125.shtml)","[99](https://www.serebii.net/swordshield/maxraidbattles/den99.shtml), [100](https://www.serebii.net/swordshield/maxraidbattles/den100.shtml), [125](https://www.serebii.net/swordshield/maxraidbattles/den125.shtml)",[100](https://www.serebii.net/swordshield/maxraidbattles/den100.shtml),[100](https://www.serebii.net/swordshield/maxraidbattles/den100.shtml),-
Wigglytuff,"[99](https://www.serebii.net/swordshield/maxraidbattles/den99.shtml), [100](https://www.serebii.net/swordshield/maxraidbattles/den100.shtml), [125](https://www.serebii.net/swordshield/maxraidbattles/den125.shtml)","[99](https://www.serebii.net/swordshield/maxraidbattles/den99.shtml), [100](https://www.serebii.net/swordshield/maxraidbattles/den100.shtml), [125](https://www.serebii.net/swordshield/maxraidbattles/den125.shtml)","[99](https://www.serebii.net/swordshield/maxraidbattles/den99.shtml), [100](https://www.serebii.net/swordshield/maxraidbattles/den100.shtml), [125](https://www.serebii.net/swordshield/maxraidbattles/den125.shtml)","[99](https://www.serebii.net/swordshield/maxraidbattles/den99.shtml), [100](https://www.serebii.net/swordshield/maxraidbattles/den100.shtml), [125](https://www.serebii.net/swordshield/maxraidbattles/den125.shtml)",-
Oddish,"[26](https://www.serebii.net/swordshield/maxraidbattles/den26.shtml), [29](https://www.serebii.net/swordshield/maxraidbattles/den29.shtml), [30](https://www.serebii.net/swordshield/maxraidbattles/den30.shtml)","[26](https://www.serebii.net/swordshield/maxraidbattles/den26.shtml), [29](https://www.serebii.net/swordshield/maxraidbattles/den29.shtml), [30](https://www.serebii.net/swordshield/maxraidbattles/den30.shtml)",None,None,-
Gloom,"[26](https://www.serebii.net/swordshield/maxraidbattles/den26.shtml), [30](https://www.serebii.net/swordshield/maxraidbattles/den30.shtml)","[26](https://www.serebii.net/swordshield/maxraidbattles/den26.shtml), [30](https://www.serebii.net/swordshield/maxraidbattles/den30.shtml)",None,None,-
Vileplume,"[26](https://www.serebii.net/swordshield/maxraidbattles/den26.shtml), [29](https://www.serebii.net/swordshield/maxraidbattles/den29.shtml), [30](https://www.serebii.net/swordshield/maxraidbattles/den30.shtml)","[26](https://www.serebii.net/swordshield/maxraidbattles/den26.shtml), [29](https://www.serebii.net/swordshield/maxraidbattles/den29.shtml), [30](https://www.serebii.net/swordshield/maxraidbattles/den30.shtml)",[26](https://www.serebii.net/swordshield/maxraidbattles/den26.shtml),[26](https://www.serebii.net/swordshield/maxraidbattles/den26.shtml),-
Diglett,[16](https://www.serebii.net/swordshield/maxraidbattles/den16.shtml),[16](https://www.serebii.net/swordshield/maxraidbattles/den16.shtml),None,None,-
Dugtrio,[16](https://www.serebii.net/swordshield/maxraidbattles/den16.shtml),[16](https://www.serebii.net/swordshield/maxraidbattles/den16.shtml),[16](https://www.serebii.net/swordshield/maxraidbattles/den16.shtml),[16](https://www.serebii.net/swordshield/maxraidbattles/den16.shtml),-
Meowth,"[11](https://www.serebii.net/swordshield/maxraidbattles/den11.shtml), [49](https://www.serebii.net/swordshield/maxraidbattles/den49.shtml), [85](https://www.serebii.net/swordshield/maxraidbattles/den85.shtml), [130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml)","[11](https://www.serebii.net/swordshield/maxraidbattles/den11.shtml), [49](https://www.serebii.net/swordshield/maxraidbattles/den49.shtml), [85](https://www.serebii.net/swordshield/maxraidbattles/den85.shtml), [130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml)",[130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml),[130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml),-
Psyduck,"[135](https://www.serebii.net/swordshield/maxraidbattles/den135.shtml), [136](https://www.serebii.net/swordshield/maxraidbattles/den136.shtml), [148](https://www.serebii.net/swordshield/maxraidbattles/den148.shtml)","[135](https://www.serebii.net/swordshield/maxraidbattles/den135.shtml), [136](https://www.serebii.net/swordshield/maxraidbattles/den136.shtml), [148](https://www.serebii.net/swordshield/maxraidbattles/den148.shtml)","[136](https://www.serebii.net/swordshield/maxraidbattles/den136.shtml), [148](https://www.serebii.net/swordshield/maxraidbattles/den148.shtml)","[136](https://www.serebii.net/swordshield/maxraidbattles/den136.shtml), [148](https://www.serebii.net/swordshield/maxraidbattles/den148.shtml)",-
Golduck,"[135](https://www.serebii.net/swordshield/maxraidbattles/den135.shtml), [136](https://www.serebii.net/swordshield/maxraidbattles/den136.shtml), [148](https://www.serebii.net/swordshield/maxraidbattles/den148.shtml)","[135](https://www.serebii.net/swordshield/maxraidbattles/den135.shtml), [136](https://www.serebii.net/swordshield/maxraidbattles/den136.shtml), [148](https://www.serebii.net/swordshield/maxraidbattles/den148.shtml)","[135](https://www.serebii.net/swordshield/maxraidbattles/den135.shtml), [136](https://www.serebii.net/swordshield/maxraidbattles/den136.shtml), [148](https://www.serebii.net/swordshield/maxraidbattles/den148.shtml)","[135](https://www.serebii.net/swordshield/maxraidbattles/den135.shtml), [136](https://www.serebii.net/swordshield/maxraidbattles/den136.shtml), [148](https://www.serebii.net/swordshield/maxraidbattles/den148.shtml)",-
Growlithe,Unknown,"[18](https://www.serebii.net/swordshield/maxraidbattles/den18.shtml), [19](https://www.serebii.net/swordshield/maxraidbattles/den19.shtml), [20](https://www.serebii.net/swordshield/maxraidbattles/den20.shtml), [53](https://www.serebii.net/swordshield/maxraidbattles/den53.shtml), [54](https://www.serebii.net/swordshield/maxraidbattles/den54.shtml), [71](https://www.serebii.net/swordshield/maxraidbattles/den71.shtml), [77](https://www.serebii.net/swordshield/maxraidbattles/den77.shtml), [80](https://www.serebii.net/swordshield/maxraidbattles/den80.shtml)",Unknown,None,-
Arcanine,[71](https://www.serebii.net/swordshield/maxraidbattles/den71.shtml),"[18](https://www.serebii.net/swordshield/maxraidbattles/den18.shtml), [19](https://www.serebii.net/swordshield/maxraidbattles/den19.shtml), [20](https://www.serebii.net/swordshield/maxraidbattles/den20.shtml), [53](https://www.serebii.net/swordshield/maxraidbattles/den53.shtml), [54](https://www.serebii.net/swordshield/maxraidbattles/den54.shtml), [71](https://www.serebii.net/swordshield/maxraidbattles/den71.shtml), [77](https://www.serebii.net/swordshield/maxraidbattles/den77.shtml), [80](https://www.serebii.net/swordshield/maxraidbattles/den80.shtml), [114](https://www.serebii.net/swordshield/maxraidbattles/den114.shtml)",[71](https://www.serebii.net/swordshield/maxraidbattles/den71.shtml),"[18](https://www.serebii.net/swordshield/maxraidbattles/den18.shtml), [19](https://www.serebii.net/swordshield/maxraidbattles/den19.shtml), [20](https://www.serebii.net/swordshield/maxraidbattles/den20.shtml), [53](https://www.serebii.net/swordshield/maxraidbattles/den53.shtml), [54](https://www.serebii.net/swordshield/maxraidbattles/den54.shtml), [71](https://www.serebii.net/swordshield/maxraidbattles/den71.shtml), [77](https://www.serebii.net/swordshield/maxraidbattles/den77.shtml), [80](https://www.serebii.net/swordshield/maxraidbattles/den80.shtml), [114](https://www.serebii.net/swordshield/maxraidbattles/den114.shtml)",-
Poliwag,[133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml),[133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml),None,None,-
Poliwhirl,"[133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml), [134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml)","[133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml), [134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml)",[134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml),[134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml),-
Poliwrath,"[133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml), [134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml)","[133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml), [134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml)","[133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml), [134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml)","[133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml), [134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml)",-
Abra,"[117](https://www.serebii.net/swordshield/maxraidbattles/den117.shtml), [118](https://www.serebii.net/swordshield/maxraidbattles/den118.shtml)","[117](https://www.serebii.net/swordshield/maxraidbattles/den117.shtml), [118](https://www.serebii.net/swordshield/maxraidbattles/den118.shtml)",[118](https://www.serebii.net/swordshield/maxraidbattles/den118.shtml),[118](https://www.serebii.net/swordshield/maxraidbattles/den118.shtml),-
Kadabra,"[117](https://www.serebii.net/swordshield/maxraidbattles/den117.shtml), [118](https://www.serebii.net/swordshield/maxraidbattles/den118.shtml)",[117](https://www.serebii.net/swordshield/maxraidbattles/den117.shtml),[118](https://www.serebii.net/swordshield/maxraidbattles/den118.shtml),None,-
Alakazam,"[117](https://www.serebii.net/swordshield/maxraidbattles/den117.shtml), [118](https://www.serebii.net/swordshield/maxraidbattles/den118.shtml)","[117](https://www.serebii.net/swordshield/maxraidbattles/den117.shtml), [118](https://www.serebii.net/swordshield/maxraidbattles/den118.shtml)","[117](https://www.serebii.net/swordshield/maxraidbattles/den117.shtml), [118](https://www.serebii.net/swordshield/maxraidbattles/den118.shtml)","[117](https://www.serebii.net/swordshield/maxraidbattles/den117.shtml), [118](https://www.serebii.net/swordshield/maxraidbattles/den118.shtml)",-
Machop,"[1](https://www.serebii.net/swordshield/maxraidbattles/den1.shtml), [48](https://www.serebii.net/swordshield/maxraidbattles/den48.shtml), [81](https://www.serebii.net/swordshield/maxraidbattles/den81.shtml)","[1](https://www.serebii.net/swordshield/maxraidbattles/den1.shtml), [48](https://www.serebii.net/swordshield/maxraidbattles/den48.shtml)",None,None,-
Machoke,"[1](https://www.serebii.net/swordshield/maxraidbattles/den1.shtml), [48](https://www.serebii.net/swordshield/maxraidbattles/den48.shtml), [81](https://www.serebii.net/swordshield/maxraidbattles/den81.shtml)","[1](https://www.serebii.net/swordshield/maxraidbattles/den1.shtml), [48](https://www.serebii.net/swordshield/maxraidbattles/den48.shtml)",None,None,-
Machamp,"[1](https://www.serebii.net/swordshield/maxraidbattles/den1.shtml), [48](https://www.serebii.net/swordshield/maxraidbattles/den48.shtml), [81](https://www.serebii.net/swordshield/maxraidbattles/den81.shtml)","[1](https://www.serebii.net/swordshield/maxraidbattles/den1.shtml), [48](https://www.serebii.net/swordshield/maxraidbattles/den48.shtml)","[1](https://www.serebii.net/swordshield/maxraidbattles/den1.shtml), [48](https://www.serebii.net/swordshield/maxraidbattles/den48.shtml), [81](https://www.serebii.net/swordshield/maxraidbattles/den81.shtml)","[1](https://www.serebii.net/swordshield/maxraidbattles/den1.shtml), [48](https://www.serebii.net/swordshield/maxraidbattles/den48.shtml)",-
Tentacool,"[119](https://www.serebii.net/swordshield/maxraidbattles/den119.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [146](https://www.serebii.net/swordshield/maxraidbattles/den146.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)","[119](https://www.serebii.net/swordshield/maxraidbattles/den119.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [146](https://www.serebii.net/swordshield/maxraidbattles/den146.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)","[146](https://www.serebii.net/swordshield/maxraidbattles/den146.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml)","[146](https://www.serebii.net/swordshield/maxraidbattles/den146.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml)",-
Tentacruel,"[119](https://www.serebii.net/swordshield/maxraidbattles/den119.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [146](https://www.serebii.net/swordshield/maxraidbattles/den146.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)","[119](https://www.serebii.net/swordshield/maxraidbattles/den119.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [146](https://www.serebii.net/swordshield/maxraidbattles/den146.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)","[119](https://www.serebii.net/swordshield/maxraidbattles/den119.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [146](https://www.serebii.net/swordshield/maxraidbattles/den146.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)","[119](https://www.serebii.net/swordshield/maxraidbattles/den119.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [146](https://www.serebii.net/swordshield/maxraidbattles/den146.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)",-
Ponyta,Unknown,"[13](https://www.serebii.net/swordshield/maxraidbattles/den13.shtml), [82](https://www.serebii.net/swordshield/maxraidbattles/den82.shtml)",Unknown,None,-
Rapidash,Unknown,"[13](https://www.serebii.net/swordshield/maxraidbattles/den13.shtml),[34](https://www.serebii.net/swordshield/maxraidbattles/den34.shtml),[62](https://www.serebii.net/swordshield/maxraidbattles/den62.shtml),[82](https://www.serebii.net/swordshield/maxraidbattles/den82.shtml)",Unknown,"[13](https://www.serebii.net/swordshield/maxraidbattles/den13.shtml),[34](https://www.serebii.net/swordshield/maxraidbattles/den34.shtml)",-
Slowpoke,[118](https://www.serebii.net/swordshield/maxraidbattles/den118.shtml),[118](https://www.serebii.net/swordshield/maxraidbattles/den118.shtml),[118](https://www.serebii.net/swordshield/maxraidbattles/den118.shtml),[118](https://www.serebii.net/swordshield/maxraidbattles/den118.shtml),-
Magnemite,"[105](https://www.serebii.net/swordshield/maxraidbattles/den105.shtml), [129](https://www.serebii.net/swordshield/maxraidbattles/den129.shtml), [130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml)","[105](https://www.serebii.net/swordshield/maxraidbattles/den105.shtml), [129](https://www.serebii.net/swordshield/maxraidbattles/den129.shtml), [130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml)",[130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml),[130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml),-
Magneton,"[105](https://www.serebii.net/swordshield/maxraidbattles/den105.shtml), [129](https://www.serebii.net/swordshield/maxraidbattles/den129.shtml), [130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml)","[105](https://www.serebii.net/swordshield/maxraidbattles/den105.shtml), [129](https://www.serebii.net/swordshield/maxraidbattles/den129.shtml), [130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml)","[105](https://www.serebii.net/swordshield/maxraidbattles/den105.shtml), [129](https://www.serebii.net/swordshield/maxraidbattles/den129.shtml), [130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml)","[105](https://www.serebii.net/swordshield/maxraidbattles/den105.shtml), [129](https://www.serebii.net/swordshield/maxraidbattles/den129.shtml), [130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml)",-
Farfetchd,"[10](https://www.serebii.net/swordshield/maxraidbattles/den10.shtml), [81](https://www.serebii.net/swordshield/maxraidbattles/den81.shtml)",Unknown,None,Unknown,-
Shellder,"[9](https://www.serebii.net/swordshield/maxraidbattles/den9.shtml), [41](https://www.serebii.net/swordshield/maxraidbattles/den41.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)","[9](https://www.serebii.net/swordshield/maxraidbattles/den9.shtml), [41](https://www.serebii.net/swordshield/maxraidbattles/den41.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)",[138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml),[138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml),-
Cloyster,"[9](https://www.serebii.net/swordshield/maxraidbattles/den9.shtml), [21](https://www.serebii.net/swordshield/maxraidbattles/den21.shtml), [22](https://www.serebii.net/swordshield/maxraidbattles/den22.shtml), [41](https://www.serebii.net/swordshield/maxraidbattles/den41.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)","[9](https://www.serebii.net/swordshield/maxraidbattles/den9.shtml), [21](https://www.serebii.net/swordshield/maxraidbattles/den21.shtml), [22](https://www.serebii.net/swordshield/maxraidbattles/den22.shtml), [41](https://www.serebii.net/swordshield/maxraidbattles/den41.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)","[9](https://www.serebii.net/swordshield/maxraidbattles/den9.shtml), [21](https://www.serebii.net/swordshield/maxraidbattles/den21.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)","[9](https://www.serebii.net/swordshield/maxraidbattles/den9.shtml), [21](https://www.serebii.net/swordshield/maxraidbattles/den21.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)",-
